cell_id,factor_structure,factor_capacity_level,factor_support_intensity,seed,horizon_days,control_capability,withdrawn_capability,supported_capability,supported_vs_control,retained_vs_control,dependency_gap
phase_068,logistics_constrained,0.8,1.0,2026200007,360,0.90783718,0.901093435,0.902085105,-0.005752074999999968,-0.006743744999999968,0.00099167
phase_068,logistics_constrained,0.8,1.0,2026200008,7,0.90290089,0.900694386,0.901906651,-0.0009942389999999524,-0.002206503999999998,0.0012122650000000457
phase_068,logistics_constrained,0.8,1.0,2026200008,30,0.874172833,0.869095368,0.875125835,0.0009530019999999251,-0.005077465000000059,0.006030466999999984
phase_068,logistics_constrained,0.8,1.0,2026200008,90,0.800444199,0.792741335,0.820623542,0.020179343000000016,-0.007702863999999976,0.027882206999999992
phase_068,logistics_constrained,0.8,1.0,2026200008,180,0.807751136,0.78177913,0.777527352,-0.03022378400000003,-0.025972006000000047,-0.004251777999999984
phase_068,logistics_constrained,0.8,1.0,2026200008,360,0.811352319,0.783783674,0.779520678,-0.03183164100000002,-0.027568645000000003,-0.004262996000000019
phase_068,logistics_constrained,0.8,1.0,2026200009,7,0.899874013,0.795283398,0.815352794,-0.08452121899999998,-0.104590615,0.020069396000000017
phase_068,logistics_constrained,0.8,1.0,2026200009,30,0.834910073,0.426093364,0.610696314,-0.22421375899999996,-0.408816709,0.18460295000000004
phase_068,logistics_constrained,0.8,1.0,2026200009,90,0.856430519,0.0,0.423452975,-0.432977544,-0.856430519,0.423452975
phase_068,logistics_constrained,0.8,1.0,2026200009,180,0.843313911,0.0,0.0,-0.843313911,-0.843313911,0.0
phase_068,logistics_constrained,0.8,1.0,2026200009,360,0.835362414,0.0,0.0,-0.835362414,-0.835362414,0.0
phase_068,logistics_constrained,0.8,1.0,2026200010,7,0.0,0.593542903,0.870406569,0.870406569,0.593542903,0.276863666
phase_068,logistics_constrained,0.8,1.0,2026200010,30,0.0,0.0,0.785621826,0.785621826,0.0,0.785621826
phase_068,logistics_constrained,0.8,1.0,2026200010,90,0.0,0.0,0.537970785,0.537970785,0.0,0.537970785
phase_068,logistics_constrained,0.8,1.0,2026200010,180,0.0,0.0,0.0,0.0,0.0,0.0
phase_068,logistics_constrained,0.8,1.0,2026200010,360,0.0,0.0,0.0,0.0,0.0,0.0
phase_068,logistics_constrained,0.8,1.0,2026200011,7,0.884819282,0.868677992,0.870719579,-0.014099703000000074,-0.016141290000000086,0.0020415870000000114
phase_068,logistics_constrained,0.8,1.0,2026200011,30,0.883191835,0.874840104,0.880609576,-0.0025822589999999757,-0.008351730999999973,0.005769471999999998
phase_068,logistics_constrained,0.8,1.0,2026200011,90,0.889931789,0.875405048,0.886851651,-0.0030801380000000655,-0.014526741000000065,0.011446603
phase_068,logistics_constrained,0.8,1.0,2026200011,180,0.884115219,0.876351657,0.879034746,-0.00508047300000003,-0.007763562000000057,0.0026830890000000274
phase_068,logistics_constrained,0.8,1.0,2026200011,360,0.864030882,0.892818759,0.898999511,0.03496862899999997,0.028787876999999962,0.006180752000000012
