factor_structure,factor_capacity_level,factor_capacity_level_index,factor_support_intensity,n,mean_delta_capability_h30,median_delta_capability_h30,delta_capability_h30_boot95_lo,delta_capability_h30_boot95_hi,delta_capability_h30_q10,delta_capability_h30_q90,mean_delta_q_feasible_h360,median_delta_q_feasible_h360,delta_q_feasible_h360_boot95_lo,delta_q_feasible_h360_boot95_hi,delta_q_feasible_h360_q10,delta_q_feasible_h360_q90,effective_seed_count,effective_seed_fraction,effective_seed_fraction_wilson95_lo,effective_seed_fraction_wilson95_hi,trap_seed_count,trap_seed_fraction,trap_seed_fraction_wilson95_lo,trap_seed_fraction_wilson95_hi,build_seed_count,build_seed_fraction,build_seed_fraction_wilson95_lo,build_seed_fraction_wilson95_hi,trap_fraction_among_effective,trap_among_effective_wilson95_lo,trap_among_effective_wilson95_hi,build_fraction_among_effective,build_among_effective_wilson95_lo,build_among_effective_wilson95_hi,phase_regime,robust_phase_regime
balanced_capacity,0.7,3,2.0,12,0.0697239763333333,0.01809431549999995,0.009070997637499984,0.18208193994583333,0.0,0.0318946158999999,-0.1269383184166666,-0.1220229575,-0.13388495456041663,-0.12039246211458327,-0.1410545278999999,-0.1160446676999999,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.6755924351161198,1.0,0.0,0.0,0.32440756488388023,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,0.85,4,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.7755575615628914e-17,0.24249400665524085,0,0.0,2.7755575615628914e-17,0.24249400665524085,0,0.0,2.7755575615628914e-17,0.24249400665524085,,,,,,,not_initially_effective,robust_not_initially_effective
balanced_capacity,0.85,4,0.25,12,0.0051105878333333075,0.001575024,0.0014138187499999743,0.011204691127083267,8.009999999947233e-08,0.00586107949999991,-0.008349550333333308,-0.007492496,-0.012845661331249964,-0.0039903497499999925,-0.017471595999999992,0.0,9,0.75,0.46769466506643426,0.9110583316059453,3,0.25,0.08894166839405471,0.5323053349335657,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.3333333333333333,0.1205838183869109,0.6457978644196036,0.0,0.0,0.2991450484195441,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,0.85,4,0.5,12,0.01435806041666663,0.003117802,0.0027838877062499666,0.03239762731041663,7.259769999999006e-05,0.0400718009,-0.018931795249999966,-0.0303148969999999,-0.02744763862083331,-0.010443442535416642,-0.033511188000000004,0.0,10,0.8333333333333334,0.5519691377470266,0.9530348578161463,5,0.4166666666666667,0.19326031365875665,0.6804886874504503,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.5,0.236593090512564,0.7634069094874361,0.0,0.0,0.2775327998628892,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,0.85,4,0.75,12,0.0028548360000000012,0.0019124019999999498,-0.00011899738124998059,0.006320797485416667,-1.115549999994858e-05,0.008111895299999993,-0.0176235118333333,-0.0059523674999999495,-0.029662517166666624,-0.005975283327083308,-0.04900622039999999,0.0,9,0.75,0.46769466506643426,0.9110583316059453,4,0.3333333333333333,0.13812009109121315,0.6093779111272004,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.4444444444444444,0.18877852109766452,0.733348706504507,0.0,0.0,0.2991450484195441,effective_autonomy_trap,uncertain_or_mixed
balanced_capacity,0.85,4,1.0,12,0.015529249666666656,0.0049313659999999995,0.003247875820833331,0.034901635895833304,7.465000000372869e-07,0.030281156100000012,-0.04178025349999997,-0.058345169499999947,-0.10705626001249997,0.024874127547916645,-0.0674959968999999,0.03314008530000002,10,0.8333333333333334,0.5519691377470266,0.9530348578161463,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,2,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.8,0.49016247153664183,0.9433178485456247,0.2,0.05668215145437519,0.5098375284633583,effective_autonomy_trap,effective_autonomy_direction_uncertain
balanced_capacity,0.85,4,1.5,12,0.09170130308333328,0.01409089299999995,0.008995809102083297,0.23319235662916662,0.00031419089999996247,0.1450998481,-0.05854494691666661,-0.05866638099999995,-0.0764484478124999,-0.04086654458541663,-0.09581946279999991,-0.02261124279999999,10,0.8333333333333334,0.5519691377470266,0.9530348578161463,10,0.8333333333333334,0.5519691377470266,0.9530348578161463,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.7224672001371107,0.9999999999999999,0.0,0.0,0.2775327998628892,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,0.85,4,2.0,12,0.02684984033333329,0.00338566049999995,0.003787213791666632,0.060161182712499955,0.00019880959999999255,0.07704497559999991,-0.10682054708333327,-0.0644503584999999,-0.16607368185624996,-0.06511675175624991,-0.1739932681,-0.0487044669999999,10,0.8333333333333334,0.5519691377470266,0.9530348578161463,10,0.8333333333333334,0.5519691377470266,0.9530348578161463,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.7224672001371107,0.9999999999999999,0.0,0.0,0.2775327998628892,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,1.0,5,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.7755575615628914e-17,0.24249400665524085,0,0.0,2.7755575615628914e-17,0.24249400665524085,0,0.0,2.7755575615628914e-17,0.24249400665524085,,,,,,,not_initially_effective,robust_not_initially_effective
balanced_capacity,1.0,5,0.25,12,0.004589886166666596,0.0024380824999999003,0.002191114199999925,0.007148046885416615,0.00010401489999995263,0.0111433511,-0.0337791458333333,-0.013354879999999951,-0.10266774893958328,0.03436808409583338,-0.24320758929999986,0.0,11,0.9166666666666666,0.646120088858883,0.9851349055950829,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,1,0.08333333333333333,0.014865094404917095,0.35387991114111694,0.7272727272727273,0.43435469882387084,0.902539407099751,0.09090909090909091,0.016232172885884855,0.37735843645159567,effective_autonomy_trap,effective_autonomy_direction_uncertain
