factor_starting_structure,factor_channels,factor_channel_count,factor_dose_regime,factor_intensity,factor_normalized_total_effort,n,mean_gain_q_vs_control,median_gain_q_vs_control,gain_q_boot95_lo,gain_q_boot95_hi,mean_gain_capability_vs_control,median_gain_capability_vs_control,gain_capability_boot95_lo,gain_capability_boot95_hi
logistics_constrained,forcegen+logistics+command,3,equal_total_effort,0.5,0.5,16,-0.03353746787500002,-0.02518671899999997,-0.06210038755000003,-0.01388717357812502,0.0,0.0,0.0,0.0
logistics_constrained,forcegen+logistics+command,3,equal_total_effort,1.0,1.0,16,-0.03594229643750001,-0.027114603000000015,-0.06971674718593752,-0.0065872535296875485,0.0,0.0,0.0,0.0
logistics_constrained,logistics,1,single_reference,0.5,0.5,16,-0.030081393249999998,-0.02295668449999999,-0.07280888067968748,-0.0001529707984374895,0.0,0.0,0.0,0.0
logistics_constrained,logistics,1,single_reference,1.0,1.0,16,0.005563532999999989,-0.016052003000000037,-0.020470052403125008,0.03952850684687494,0.0,0.0,0.0,0.0
logistics_constrained,logistics+command,2,equal_channel_dose,0.5,1.0,16,-0.03409613962500001,-0.024287192000000013,-0.076781812728125,-0.002486510312500016,0.0,0.0,0.0,0.0
logistics_constrained,logistics+command,2,equal_channel_dose,1.0,2.0,16,0.0057666563125,-0.006517210499999981,-0.021564458973437516,0.043768781840624965,0.0,0.0,0.0,0.0
logistics_constrained,logistics+command,2,equal_total_effort,0.5,0.5,16,-0.039892642375000016,-0.027664796000000047,-0.06998174997812501,-0.019746236278124996,0.0,0.0,0.0,0.0
logistics_constrained,logistics+command,2,equal_total_effort,1.0,1.0,16,-0.03409613962500001,-0.024287192000000013,-0.076781812728125,-0.002486510312500016,0.0,0.0,0.0,0.0
near_tie_low,command,1,single_reference,0.5,0.5,16,0.043377263937499994,0.010034432500000023,-0.0942181572,0.19312200394531245,0.07864249431249999,0.0,-0.10122752598281251,0.2693035691562499
near_tie_low,command,1,single_reference,1.0,1.0,16,0.0014597770000000163,0.01523905000000006,-0.18522154861718745,0.19160901423749993,0.109743134625,-0.019529135500000072,-0.08410860020624998,0.3036803887375
near_tie_low,forcegen,1,single_reference,0.5,0.5,16,0.022743303124999996,0.0,0.008853140624999999,0.03857460033281249,-0.00011880762499999475,0.0,-0.0003514836906249942,3.0624999966533117e-09
near_tie_low,forcegen,1,single_reference,1.0,1.0,16,0.049764826375,0.0,0.019384523125,0.0843874385390625,0.00010292550000000344,0.0,-4.866074999997777e-05,0.0003574375640624999
near_tie_low,forcegen+command,2,equal_channel_dose,0.5,1.0,16,0.070987986,0.048627866999999964,-0.05707508845312499,0.21388079833437498,0.0786720800625,0.0,-0.1011909055765625,0.26936126037656244
near_tie_low,forcegen+command,2,equal_channel_dose,1.0,2.0,16,0.06259980606250001,0.05404112249999998,-0.10631391856562498,0.2341732814046875,0.10971003093750001,-0.019529108000000073,-0.08412069145625,0.3035572239328125
